"date","weightclass","fighter","rank"
"2026-03-03","Middleweight","Roman Dolidze","11"
"2026-03-03","Middleweight","Paulo Costa","12"
"2026-03-03","Middleweight","Gregory Rodrigues","13"
"2026-03-03","Middleweight","Joe Pyfer","14"
"2026-03-03","Middleweight","Brunno Ferreira","15"
"2026-03-03","Light Heavyweight","Alex Pereira","0"
"2026-03-03","Light Heavyweight","Magomed Ankalaev","1"
"2026-03-03","Light Heavyweight","Jiri Prochazka","2"
"2026-03-03","Light Heavyweight","Carlos Ulberg","3"
"2026-03-03","Light Heavyweight","Khalil Rountree Jr.","4"
"2026-03-03","Light Heavyweight","Jan Blachowicz","5"
"2026-03-03","Light Heavyweight","Azamat Murzakanov","6"
"2026-03-03","Light Heavyweight","Jamahal Hill","7"
"2026-03-03","Light Heavyweight","Volkan Oezdemir","8"
"2026-03-03","Light Heavyweight","Bogdan Guskov","9"
"2026-03-03","Light Heavyweight","Dominick Reyes","10"
"2026-03-03","Light Heavyweight","Aleksandar Rakic","11"
"2026-03-03","Light Heavyweight","Johnny Walker","12"
"2026-03-03","Light Heavyweight","Nikita Krylov","13"
"2026-03-03","Light Heavyweight","Dustin Jacoby","14"
"2026-03-03","Light Heavyweight","Zhang Mingyang","15"
"2026-03-03","Heavyweight","Tom Aspinall","0"
"2026-03-03","Heavyweight","Ciryl Gane","1"
"2026-03-03","Heavyweight","Alexander Volkov","2"
"2026-03-03","Heavyweight","Sergei Pavlovich","3"
"2026-03-03","Heavyweight","Curtis Blaydes","4"
"2026-03-03","Heavyweight","Waldo Cortes-Acosta","5"
"2026-03-03","Heavyweight","Serghei Spivac","6"
"2026-03-03","Heavyweight","Rizvan Kuniev","7"
"2026-03-03","Heavyweight","Marcin Tybura","8"
"2026-03-03","Heavyweight","Derrick Lewis","9"
"2026-03-03","Heavyweight","Ante Delija","10"
"2026-03-03","Heavyweight","Tallison Teixeira","11"
"2026-03-03","Heavyweight","Shamil Gaziev","12"
"2026-03-03","Heavyweight","Mick Parkin","13"
"2026-03-03","Heavyweight","Valter Walker","14"
"2026-03-03","Heavyweight","Vitor Petrino","15"
"2026-03-03","Women's Strawweight","Mackenzie Dern","0"
"2026-03-03","Women's Strawweight","Zhang Weili","1"
"2026-03-03","Women's Strawweight","Tatiana Suarez","2"
"2026-03-03","Women's Strawweight","Virna Jandiroba","3"
"2026-03-03","Women's Strawweight","Yan Xiaonan","4"
"2026-03-03","Women's Strawweight","Amanda Lemos","5"
"2026-03-03","Women's Strawweight","Loopy Godinez","6"
"2026-03-03","Women's Strawweight","Tabatha Ricci","7"
"2026-03-03","Women's Strawweight","Gillian Robertson","8"
"2026-03-03","Women's Strawweight","Jessica Andrade","9"
"2026-03-03","Women's Strawweight","Amanda Ribas","10"
"2026-03-03","Women's Strawweight","Fatima Kline","11"
"2026-03-03","Women's Strawweight","Denise Gomes","12"
"2026-03-03","Women's Strawweight","Alexia Thainara","13"
"2026-03-03","Women's Strawweight","Angela Hill","14"
"2026-03-03","Women's Strawweight","Mizuki","15"
"2026-03-03","Women's Flyweight","Valentina Shevchenko","0"
