"date","weightclass","fighter","rank"
"2026-02-03","Women's Pound-for-Pound","Kayla Harrison","2"
"2026-02-03","Women's Pound-for-Pound","Zhang Weili","3"
"2026-02-03","Women's Pound-for-Pound","Natalia Silva","4"
"2026-02-03","Women's Pound-for-Pound","Mackenzie Dern","5"
"2026-02-03","Women's Pound-for-Pound","Manon Fiorot","6"
"2026-02-03","Women's Pound-for-Pound","Erin Blanchfield","7"
"2026-02-03","Women's Pound-for-Pound","Julianna Pena","8"
"2026-02-03","Women's Pound-for-Pound","Alexa Grasso","9"
"2026-02-03","Women's Pound-for-Pound","Virna Jandiroba","10"
"2026-02-03","Women's Pound-for-Pound","Raquel Pennington","11"
"2026-02-03","Women's Pound-for-Pound","Tatiana Suarez","12"
"2026-02-03","Women's Pound-for-Pound","Rose Namajunas","13"
"2026-02-03","Women's Pound-for-Pound","Yan Xiaonan","14"
"2026-02-03","Women's Pound-for-Pound","Maycee Barber","15"
"2026-02-10","Flyweight","Joshua Van","0"
"2026-02-10","Flyweight","Alexandre Pantoja","1"
"2026-02-10","Flyweight","Manel Kape","2"
"2026-02-10","Flyweight","Tatsuro Taira","3"
"2026-02-10","Flyweight","Brandon Royval","4"
"2026-02-10","Flyweight","Kyoji Horiguchi","5"
"2026-02-10","Flyweight","Brandon Moreno","6"
"2026-02-10","Flyweight","Amir Albazi","7"
"2026-02-10","Flyweight","Asu Almabayev","8"
"2026-02-10","Flyweight","Tim Elliott","9"
"2026-02-10","Flyweight","Alex Perez","10"
"2026-02-10","Flyweight","Steve Erceg","11"
"2026-02-10","Flyweight","Tagir Ulanbekov","12"
"2026-02-10","Flyweight","Charles Johnson","13"
"2026-02-10","Flyweight","Bruno Gustavo da Silva","14"
"2026-02-10","Flyweight","Lone'er Kavanagh","15"
"2026-02-10","Bantamweight","Petr Yan","0"
"2026-02-10","Bantamweight","Merab Dvalishvili","1"
"2026-02-10","Bantamweight","Umar Nurmagomedov","2"
"2026-02-10","Bantamweight","Sean O'Malley","3"
"2026-02-10","Bantamweight","Cory Sandhagen","4"
"2026-02-10","Bantamweight","Song Yadong","5"
"2026-02-10","Bantamweight","Aiemann Zahabi","6"
"2026-02-10","Bantamweight","Deiveson Figueiredo","7"
"2026-02-10","Bantamweight","Mario Bautista","8"
"2026-02-10","Bantamweight","Marlon Vera","9"
"2026-02-10","Bantamweight","David Martinez","10"
"2026-02-10","Bantamweight","Payton Talbott","11"
"2026-02-10","Bantamweight","Vinicius Oliveira","12"
"2026-02-10","Bantamweight","Rob Font","13"
"2026-02-10","Bantamweight","Kyler Phillips","14"
"2026-02-10","Bantamweight","Montel Jackson","15"
"2026-02-10","Featherweight","Alexander Volkanovski","0"
"2026-02-10","Featherweight","Movsar Evloev","1"
"2026-02-10","Featherweight","Diego Lopes","2"
"2026-02-10","Featherweight","Lerone Murphy","3"
"2026-02-10","Featherweight","Yair Rodriguez","4"
"2026-02-10","Featherweight","Aljamain Sterling","5"
"2026-02-10","Featherweight","Jean Silva","6"
"2026-02-10","Featherweight","Arnold Allen","7"
"2026-02-10","Featherweight","Youssef Zalal","8"
"2026-02-10","Featherweight","Steve Garcia","9"
"2026-02-10","Featherweight","Brian Ortega","10"
"2026-02-10","Featherweight","Josh Emmett","11"
"2026-02-10","Featherweight","Patricio Freire","12"
"2026-02-10","Featherweight","Kevin Vallejos","13"
"2026-02-10","Featherweight","Dan Ige","14"
"2026-02-10","Featherweight","David Onama","15"
"2026-02-10","Lightweight","Ilia Topuria","0"
"2026-02-10","Lightweight","Justin Gaethje","1"
"2026-02-10","Lightweight","Arman Tsarukyan","2"
"2026-02-10","Lightweight","Charles Oliveira","3"
"2026-02-10","Lightweight","Max Holloway","4"
"2026-02-10","Lightweight","Benoit Saint Denis","5"
"2026-02-10","Lightweight","Paddy Pimblett","6"
"2026-02-10","Lightweight","Mateusz Gamrot","7"
"2026-02-10","Lightweight","Dan Hooker","8"
"2026-02-10","Lightweight","Mauricio Ruffy","9"
"2026-02-10","Lightweight","Renato Moicano","10"
"2026-02-10","Lightweight","Rafael Fiziev","11"
"2026-02-10","Lightweight","Beneil Dariush","12"
"2026-02-10","Lightweight","Michael Chandler","13"
"2026-02-10","Lightweight","Manuel Torres","14"
"2026-02-10","Lightweight","Fares Ziam","15"
"2026-02-10","Welterweight","Islam Makhachev","0"
"2026-02-10","Welterweight","Jack Della Maddalena","1"
"2026-02-10","Welterweight","Ian Machado Garry","2"
"2026-02-10","Welterweight","Michael Morales","3"
"2026-02-10","Welterweight","Belal Muhammad","4"
"2026-02-10","Welterweight","Carlos Prates","5"
"2026-02-10","Welterweight","Sean Brady","6"
"2026-02-10","Welterweight","Kamaru Usman","7"
"2026-02-10","Welterweight","Leon Edwards","8"
"2026-02-10","Welterweight","Joaquin Buckley","9"
"2026-02-10","Welterweight","Gabriel Bonfim","10"
"2026-02-10","Welterweight","Gilbert Burns","11"
"2026-02-10","Welterweight","Geoff Neal","12"
"2026-02-10","Welterweight","Daniel Rodriguez","13"
"2026-02-10","Welterweight","Michael Page","14"
"2026-02-10","Welterweight","Colby Covington","14"
"2026-02-10","Middleweight","Khamzat Chimaev","0"
"2026-02-10","Middleweight","Dricus Du Plessis","1"
"2026-02-10","Middleweight","Nassourdine Imavov","2"
"2026-02-10","Middleweight","Sean Strickland","3"
"2026-02-10","Middleweight","Anthony Hernandez","4"
"2026-02-10","Middleweight","Brendan Allen","5"
"2026-02-10","Middleweight","Israel Adesanya","6"
"2026-02-10","Middleweight","Caio Borralho","7"
"2026-02-10","Middleweight","Reinier de Ridder","8"
"2026-02-10","Middleweight","Robert Whittaker","9"
"2026-02-10","Middleweight","Jared Cannonier","10"
"2026-02-10","Middleweight","Roman Dolidze","11"
"2026-02-10","Middleweight","Paulo Costa","12"
"2026-02-10","Middleweight","Gregory Rodrigues","13"
"2026-02-10","Middleweight","Joe Pyfer","14"
"2026-02-10","Middleweight","Brunno Ferreira","15"
"2026-02-10","Light Heavyweight","Alex Pereira","0"
"2026-02-10","Light Heavyweight","Magomed Ankalaev","1"
"2026-02-10","Light Heavyweight","Jiri Prochazka","2"
"2026-02-10","Light Heavyweight","Carlos Ulberg","3"
"2026-02-10","Light Heavyweight","Khalil Rountree Jr.","4"
"2026-02-10","Light Heavyweight","Jan Blachowicz","5"
"2026-02-10","Light Heavyweight","Azamat Murzakanov","6"
"2026-02-10","Light Heavyweight","Jamahal Hill","7"
"2026-02-10","Light Heavyweight","Volkan Oezdemir","8"
"2026-02-10","Light Heavyweight","Bogdan Guskov","9"
"2026-02-10","Light Heavyweight","Dominick Reyes","10"
